Year,Region/State,Population ('000)
2011,New South Wales,7247.7
2011,Victoria,5574.5
2011,Queensland,4513.0
2011,South Australia,1645.0
2011,Western Australia,2387.2
2011,Tasmania,511.7
2011,Northern Territory,232.4
2011,Australian Capital Territory,370.7
2011,Australia,22485.3
2012,New South Wales,7348.9
2012,Victoria,5679.6
2012,Queensland,4610.9
2012,South Australia,1662.2
2012,Western Australia,2472.7
2012,Tasmania,512.4
2012,Northern Territory,236.9
2012,Australian Capital Territory,379.6
2012,Australia,22906.4
2013,New South Wales,7465.5
2013,Victoria,5791.0
2013,Queensland,4690.9
2013,South Australia,1677.3
2013,Western Australia,2550.9
2013,Tasmania,514.0
2013,Northern Territory,242.6
2013,Australian Capital Territory,384.1
2013,Australia,23319.4
2014,New South Wales,7565.5
2014,Victoria,5886.4
2014,Queensland,4750.5
2014,South Australia,1691.5
2014,Western Australia,2581.3
2014,Tasmania,515.2
2014,Northern Territory,244.3
2014,Australian Capital Territory,387.6
2014,Australia,23625.6
2015,New South Wales,7670.7
2015,Victoria,5996.4
2015,Queensland,4808.8
2015,South Australia,1702.8
2015,Western Australia,2603.9
2015,Tasmania,517.4
2015,Northern Territory,244.0
2015,Australian Capital Territory,393.0
2015,Australia,23940.3
2016,New South Wales,7797.8
2016,Victoria,6244.2
2016,Queensland,4883.7
2016,South Australia,1717.0
2016,Western Australia,2567.8
2016,Tasmania,519.1
2016,Northern Territory,245.0
2016,Australian Capital Territory,406.4
2016,Australia,24385.6
2017,New South Wales,7915.1
2017,Victoria,6385.8
2017,Queensland,4965.0
2017,South Australia,1728.1
2017,Western Australia,2584.8
2017,Tasmania,524.7
2017,Northern Territory,246.7
2017,Australian Capital Territory,415.9
2017,Australia,24770.7
2018,New South Wales,8046.1
2018,Victoria,6526.4
2018,Queensland,5052.8
2018,South Australia,1742.7
2018,Western Australia,2606.3
2018,Tasmania,531.5
2018,Northern Territory,245.9
2018,Australian Capital Territory,423.8
2018,Australia,25180.2
2019,New South Wales,8129.0
2019,Victoria,6651.1
2019,Queensland,5130.0
2019,South Australia,1759.2
2019,Western Australia,2639.1
2019,Tasmania,537.0
2019,Northern Territory,244.8
2019,Australian Capital Territory,427.4
2019,Australia,25522.2
2020,New South Wales,8172.5
2020,Victoria,6661.7
2020,Queensland,5194.9
2020,South Australia,1770.8
2020,Western Australia,2670.2
2020,Tasmania,541.5
2020,Northern Territory,246.6
2020,Australian Capital Territory,431.5
2020,Australia,25694.4
2021,New South Wales,8095.4
2021,Victoria,6559.9
2021,Queensland,5265.0
2021,South Australia,1806.6
2021,Western Australia,2762.2
2021,Tasmania,569.8
2021,Northern Territory,249.3
2021,Australian Capital Territory,453.3
2021,Australia,25766.6
