,"Population at 31 Dec 2020 ('000)","Change over previous year ('000)","Change over previous year (%)"
"New South Wales","8,172.5","35.6","0.4"
"Victoria","6,661.7","0.7","0.0"
"Queensland","5,194.9","58.1","1.1"
"South Australia","1,770.8","9.4","0.5"
"Western Australia","2,670.2","24.5","0.9"
"Tasmania","541.5","3.2","0.6"
"Northern Territory","246.6","1.3","0.5"
"Australian Capital Territory","431.5","3.2","0.8"
"Australia (a)","25,694.4","136.3","0.5"

" a. Includes Other Territories comprising Jervis Bay Territory, Christmas Island, the Cocos (Keeling) Islands and Norfolk Island."

" Source: Australian Bureau of Statistics, National, state and territory population December 2020"
